CustomerID,recency,frequency,monetary,average_order_value,purchase_probability
12748,0,192,31718.38,165.19989583333333,0.9999999999999993
14911,1,193,139413.48,722.3496373056995,0.9999999999999993
17841,1,120,39450.01,328.75008333333335,0.9999999996069704
13089,2,94,55595.21,591.4384042553191,0.999999948266193
14606,1,90,11549.77,128.33077777777777,0.999999907929279
15311,0,87,59143.83,679.8141379310345,0.9999998104194201
12971,3,83,10921.72,131.58698795180723,0.9999996605379224
14646,1,73,280206.02,3838.438630136986,0.9999945232209485
13408,1,60,26558.36,442.63933333333335,0.9999748646921635
16029,38,60,76753.31999999999,1279.222,0.9999645176541947
13798,1,56,36745.85,656.1758928571428,0.9999455313816918
14527,2,53,7991.49,150.78283018867924,0.9999131390119345
18102,0,56,231822.69,4139.690892857143,0.9998974663782733
14156,9,54,117057.43000000001,2167.7301851851853,0.9998938015253439
16422,17,50,33016.2,660.324,0.9998238903272824
13694,3,49,64197.5,1310.1530612244899,0.99978158851959
15039,9,46,19302.93,419.6289130434783,0.9996599107111065
16013,3,45,36068.6,801.5244444444444,0.9995816565917
17949,1,44,57196.48,1299.92,0.9994689517828858
14298,8,44,51527.3,1171.075,0.9994601175267434
15189,1,41,16225.39,395.74121951219513,0.9991828677134503
17450,8,44,192521.95,4375.498863636363,0.9991739578268078
15061,3,41,43104.64,1051.3326829268292,0.9991073652531645
17811,4,39,7837.7300000000005,200.9674358974359,0.9988290102355468
17315,1,38,6292.26,165.58578947368423,0.9986173460072388
17961,21,38,1168.8899999999999,30.760263157894734,0.9985000693841005
13199,3,37,9348.44,252.66054054054055,0.9983060723283519
13263,1,35,7454.07,212.97342857142857,0.9975850307462681
12921,9,35,15899.29,454.2654285714286,0.9974325257091412
13468,1,34,5122.74,150.66882352941175,0.9971133954781665
13767,2,34,15583.400000000001,458.3352941176471,0.9970174293591165
17389,0,34,31833.68,936.2847058823529,0.9969149392799962
16133,3,33,14589.04,442.09212121212124,0.9964066800388365
16839,8,33,16042.11,486.12454545454545,0.9963056229735417
12569,2,32,4124.69,128.89656250000002,0.9958155425466615
14735,3,32,6065.69,189.55281250000002,0.9957744426117474
15159,1,30,18641.010000000002,621.3670000000001,0.9937607152493924
17675,1,30,19757.16,658.572,0.9937435570782114
15078,7,30,9267.960000000001,308.932,0.9937258371445077
12471,2,30,19824.05,660.8016666666666,0.9937125911912889
12682,3,29,11212.93,386.65275862068967,0.9925690917288591
17757,1,28,5312.84,189.74428571428572,0.9912803875261174
17511,2,29,87591.7,3020.403448275862,0.9911182295341731
13098,1,28,28882.44,1031.5157142857142,0.990787476139534
12901,8,28,17654.54,630.5192857142857,0.9907216413874356
13018,16,28,7277.7,259.91785714285714,0.9905921214917797
16684,4,28,66653.56,2380.4842857142858,0.9897948874985938
17428,0,27,16903.85,626.0685185185184,0.9892989489779797
15005,15,27,6094.07,225.70629629629627,0.9887861609472139
17677,1,26,14746.63,567.178076923077,0.987162084146159
15856,4,26,14816.25,569.8557692307693,0.9869762174531185
16168,10,26,3511.8,135.06923076923078,0.9869273747198312
17381,8,26,16671.89,641.2265384615384,0.9866730445340144
18109,1,25,7775.5199999999995,311.0208,0.9848284746421655
13534,2,25,5870.08,234.8032,0.984817492290159
17243,1,25,8419.95,336.798,0.9848079042817651
15498,2,25,12339.68,493.5872,0.984609582793145
16525,2,25,12616.01,504.6404,0.9846006404106177
13078,3,25,12113.550000000001,484.54200000000003,0.9845439821743902
18118,10,25,5177.96,207.1184,0.9842550874383909
